type,latitude,longitude,address,female,male,wheelchair,baby_facil,operator,name
Public Toilet ,-37.81583817,144.9610621,Queen Street (opposite 113 Queen Street),yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.82294829,144.9709857,Queen Victoria Gardens (Linlithgow Avenue),yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.80891324,144.9550402,Flagstaff Gardens (cnr William & Dudley),yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.81892446,144.9342385,"Victoria Harbour, Shed 2 (North Wharf Road)",yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.81598983,144.9727984,Flinders Street (27 Flinders Street),no,yes,no,no,City of Melbourne,Toilet
Public Toilet ,-37.82764305,144.9818117,Alexandra Park,yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.82172068,144.9555781,Batman Park (2A Spencer Street),yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.81343921,144.9629227,Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),no,yes,no,no,City of Melbourne,Toilet
Public Toilet ,-37.81434552,144.9551179,Lonsdale Street (Opposite 581 Lonsdale Street),yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.80625893,144.9692027,Carlton Gardens South (Opposite 39 Rathdowne Street),yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.80894207,144.9656488,Latrobe Street (Adjacent 120 La Trobe Street),no,yes,no,no,City of Melbourne,Toilet
Public Toilet ,-37.80945203,144.973077,Nicholson Street (1A Nicholson Street),no,yes,no,no,City of Melbourne,Toilet
Public Toilet ,-37.82331083,144.9418276,Point Park (Point Park Crescent),yes,yes,yes,yes,City of Melbourne,Toilet
Public Toilet ,-37.81722059,144.9340027,Ron Barassi Senior Park Pavilion,yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.81003568,144.9699025,Lonsdale Street (Opposite 88 Lonsdale Street),yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.80954605,144.9694071,Exhibition Street (Opposite 242 Exhibition Street),no,yes,no,no,City of Melbourne,Toilet
Public Toilet ,-37.81094233,144.9868587,Powlett Reserve (Opposite 128 Albert Street),yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.8217586,144.9473834,Docklands Park South -  25 Harbour Esplanade,yes,yes,yes,yes,City of Melbourne,Toilet
Public Toilet ,-37.80307787,144.9498652,Queensberry Street (Opposite 530 Queensberry Street),no,yes,no,no,City of Melbourne,Toilet
Public Toilet ,-37.84520656,144.9826144,"Fawkner Park, Opposite 55 Commercial Road",yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.79812546,144.9264247,"JJ Holland Park (Opposite, 48 Altona Street)",yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.80637962,144.9590578,Queen Victoria Market (Food Court - 81 Victoria Street),yes,yes,no,no,City of Melbourne,Toilet
Public Toilet ,-37.83825284,144.9843892,"Fawkner Park, Opposite 150W Toorak Road",yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.82034213,144.9642197,Southbank Promenade (opposite Esso House),yes,yes,yes,no,City of Melbourne,Toilet
Public Toilet ,-37.80309428,144.9499463,Queensberry Street (Opposite 530 Queensberry Street),no,yes,no,no,City of Melbourne,Toilet
Public Toilet ,-37.81203616,144.9830749,Fitzroy Gardens Toilets (150 Clarendon Street),yes,yes,yes,no,City of Melbourne,Toilet
