type,latitude,longitude,name,address,seating_type,number_of_seats,Location,Building address,Block ID,Property ID,Base property ID,CLUE small area
Cafes and Restaurants,-37.81222,144.96751,Musashi Ramen Restaurant,181-183 Russell Street MELBOURNE VIC 3000,Indoor,80,"-37.81595, 144.97169",84-94 Flinders Street MELBOURNE VIC 3000,17,574438,574438,Melbourne CBD
Takeaway Food Services,-37.82386,144.96119,My Goodness Pizza,"Suite 10, 186-188 City Road SOUTHBANK VIC 3006",Indoor,25,"-37.81506, 144.97251",61-73 Flinders Lane MELBOURNE VIC 3000,18,103918,103918,Melbourne CBD
Cafes and Restaurants,-37.81542,144.95361,My Goodness Pizzas And Burgers,637 Lonsdale Street MELBOURNE VIC 3000,Indoor & Outdoor,131,"-37.81529, 144.97359",26-30 Flinders Street MELBOURNE VIC 3000,18,104033,104033,Melbourne CBD
Takeaway Food Services,-37.81311,144.96797,My Modern Fresh Tea & Yogurt,143A Russell Street MELBOURNE VIC 3000,Indoor,4,"-37.81486, 144.97284",55 Flinders Lane MELBOURNE VIC 3000,18,111021,111021,Melbourne CBD
Cafes and Restaurants,-37.8129,144.95557,My Mom's Yangpyeong Haejanggook Melbourne,"Shop 2, Ground 466-468 Little Lonsdale Street MELBOURNE VIC 3000",Indoor & Outdoor,40,"-37.81937, 144.95521",589-605 Collins Street MELBOURNE VIC 3000,21,102106,102106,Melbourne CBD
Cafes and Restaurants,-37.84657,144.98282,My Serendipity Cafe,Part Baker Medical Research Institute 75 Commercial Road MELBOURNE VIC 3004,Indoor & Outdoor,18,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Cafes and Restaurants,-37.81609,144.98483,My Sushi Japanese Cafe,154 Wellington Parade EAST MELBOURNE VIC 3002,Indoor & Outdoor,22,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Cafes and Restaurants,-37.8168,144.96,N Lee Bakery,"Unit 2, Ground 422 Collins Street MELBOURNE VIC 3000",Indoor,20,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Cafes and Restaurants,-37.81314,144.97169,N Lee Bakery And Cafe,"Shop 4, 61 Little Collins Street MELBOURNE VIC 3000",Indoor,18,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Cafes and Restaurants,-37.81247,144.96393,Nabe One,"Shop 242, 287 Lonsdale Street MELBOURNE VIC 3000",Indoor,10,"-37.81902, 144.95572",559-587 Collins Street MELBOURNE VIC 3000,21,579252,579252,Melbourne CBD
Takeaway Food Services,-37.80543,144.95476,Nahm Tao Thai Kitchen,348 Victoria Street NORTH MELBOURNE VIC 3051,Indoor,15,"-37.81854, 144.95812",487-503 Collins Street MELBOURNE VIC 3000,22,102103,102103,Melbourne CBD
Cafes and Restaurants,-37.81141,144.96717,Nam Loong Restaurant,223 Russell Street MELBOURNE VIC 3000,Indoor,50,"-37.81854, 144.95812",487-503 Collins Street MELBOURNE VIC 3000,22,102103,102103,Melbourne CBD
Cafes and Restaurants,-37.81238,144.96759,Nam Loong Seafood Restaurant,171-173 Russell Street MELBOURNE VIC 3000,Indoor,64,"-37.81866, 144.95747",Podium Rialto 525 Collins Street MELBOURNE VIC 3000,22,705123,102104,Melbourne CBD
