type,latitude,longitude,name,address,seating_type,number_of_seats,Location,Building address,Block ID,Property ID,Base property ID,CLUE small area
Cafes and Restaurants,-37.81107,144.98419,Freeo's,Ground 166 Clarendon Street EAST MELBOURNE VIC 3002,Indoor,58,"-37.80783, 144.95763",507-523 Elizabeth Street MELBOURNE VIC 3000,113,110690,108118,Melbourne CBD
Cafes and Restaurants,-37.81356,144.95975,French Fix,"Shop 3, Ground 221 Queen Street MELBOURNE VIC 3000",Indoor & Outdoor,12,"-37.80783, 144.95763",507-523 Elizabeth Street MELBOURNE VIC 3000,113,110690,108118,Melbourne CBD
Takeaway Food Services,-37.7944,144.97514,French Lettuce,Ground 237 Nicholson Street CARLTON VIC 3053,Indoor & Outdoor,9,"-37.80783, 144.95763",507-523 Elizabeth Street MELBOURNE VIC 3000,113,110690,108118,Melbourne CBD
Cafes and Restaurants,-37.80271,144.94848,French Quarter Patisserie,568 Queensberry Street NORTH MELBOURNE VIC 3051,Indoor & Outdoor,24,"-37.8075, 144.95963",489-499 Elizabeth Street MELBOURNE VIC 3000,114,103234,103234,Melbourne CBD
Cafes and Restaurants,-37.81354,144.96133,French Saloon,Level 1 46 Hardware Lane MELBOURNE VIC 3000,Indoor & Outdoor,14,"-37.80735, 144.95955",501-503 Elizabeth Street MELBOURNE VIC 3000,114,103235,103235,Melbourne CBD
Cafes and Restaurants,-37.81253,144.9553,Frescatis Fine Foods,"Suite 2, Ground 469 La Trobe Street MELBOURNE VIC 3000",Indoor & Outdoor,40,"-37.80822, 144.95892",Stargate Apartments 114-122 Franklin Street MELBOURNE VIC 3000,114,104095,104095,Melbourne CBD
Cafes and Restaurants,-37.81165,144.96165,Fresh Air & Pancake,Part 299 Elizabeth Street MELBOURNE VIC 3000,Indoor,20,"-37.80798, 144.95997",469 Elizabeth Street MELBOURNE VIC 3000,114,511516,511516,Melbourne CBD
Cafes and Restaurants,-37.8109,144.96284,Frozen by a Thousand Blessings,"Shop 209A, 300 Lonsdale Street MELBOURNE VIC 3000",Indoor & Outdoor,21,"-37.80794, 144.95995",471 Elizabeth Street MELBOURNE VIC 3000,114,511518,511518,Melbourne CBD
Cafes and Restaurants,-37.79393,144.92999,Fruits of Passion,188 Bellair Street KENSINGTON VIC 3031,Indoor & Outdoor,33,"-37.80784, 144.96062",452-472 Elizabeth Street MELBOURNE VIC 3000,115,103300,103300,Melbourne CBD
Cafes and Restaurants,-37.79532,144.97116,Fu Lu Chinese Cafe,172 Rathdowne Street CARLTON VIC 3053,Indoor & Outdoor,4,"-37.80752, 144.96162",Mac's Hotel 34-38 Franklin Street MELBOURNE VIC 3000,115,104103,104103,Melbourne CBD
Cafes and Restaurants,-37.81186,144.93659,Fukutontei Ramen,"Shop 15, Ground 120 Pearl River Road DOCKLANDS VIC 3008",Indoor & Outdoor,56,"-37.80729, 144.96209",Verve501 Apartments 483 Swanston Street MELBOURNE VIC 3000,115,604778,587480,Melbourne CBD
Cafes and Restaurants,-37.80881,144.96024,Menya Ramen,Ground 437-439 Elizabeth Street MELBOURNE VIC 3000,Indoor & Outdoor,94,"-37.82098, 144.95651",545-557 Flinders Street MELBOURNE VIC 3000,1,611394,611394,Melbourne CBD
Takeaway Food Services,-37.8109,144.96284,Menya Ramen,"Shop 146A, Level 1 300 Lonsdale Street MELBOURNE VIC 3000",Indoor & Outdoor,8,"-37.82098, 144.95651",545-557 Flinders Street MELBOURNE VIC 3000,1,611394,611394,Melbourne CBD
Cafes and Restaurants,-37.80409,144.96603,Mercadante Pizza,Ground 123 Lygon Street CARLTON VIC 3053,Indoor & Outdoor,45,"-37.81868, 144.96578",Flinders Street Railway Station 207-361 Flinders Street MELBOURNE VIC 3000,4,104034,104034,Melbourne CBD
Cafes and Restaurants,-37.82045,144.94346,Merchant Society,71 Merchant Street DOCKLANDS VIC 3008,Indoor & Outdoor,70,"-37.81868, 144.96865",Federation Square Vaults 1-19 Princes Walk MELBOURNE VIC 3000,6,110655,110655,Melbourne CBD
Cafes and Restaurants,-37.81445,144.95269,Merriment Coffee,"Shop 8, 260 Spencer Street MELBOURNE VIC 3000",Indoor,20,"-37.81778, 144.96994",Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,6,578319,573333,Melbourne CBD
Cafes and Restaurants,-37.82398,144.96002,Mesh,Part Ground 1-25 Whiteman Street SOUTHBANK VIC 3006,Indoor & Outdoor,16,"-37.81778, 144.96994",Atrium Federation Square 2 Swanston Street MELBOURNE VIC 3000,6,578321,573333,Melbourne CBD
Takeaway Food Services,-37.81752,144.966,Metro Burgers,12 Degraves Street MELBOURNE VIC 3000,Indoor,24,"-37.81778, 144.96994",The Square 2 Swanston Street MELBOURNE VIC 3000,6,578323,573333,Melbourne CBD
"Pubs, Taverns and Bars",-37.82094,144.96817,Mezz Bar,Mezzanine 100 St Kilda Road SOUTHBANK VIC 3006,Indoor,20,"-37.81778, 144.96994","Tenancy 29, Transport Federation Square 2 Swanston Street MELBOURNE VIC 3000",6,578324,573333,Melbourne CBD
Cafes and Restaurants,-37.82174,144.96686,Mezzi Bar,Part Ground 31 City Road SOUTHBANK VIC 3006,Indoor,40,"-37.81778, 144.96994",Yarra Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,6,578325,573333,Melbourne CBD
