Geo Point,Geo Shape,night_only,loc_desc,ref,num_spaces,safe_city
"-37.815240851979, 144.971911101554","{""coordinates"": [144.971911101554, -37.815240851979], ""type"": ""Point""}",No,Exhibition Street between Flinders Street and Flinders Lane,6,2,No
"-37.809151764453, 144.975898423988","{""coordinates"": [144.975898423988, -37.809151764453], ""type"": ""Point""}",No,Gisborne Street between Albert Street and Victoria Parade,56,6,No
"-37.816394707979, 144.958652759646","{""coordinates"": [144.958652759646, -37.816394707979], ""type"": ""Point""}",No,William Street between Little Collins Street and Bourke Street,18,7,No
"-37.811277451142, 144.973304242296","{""coordinates"": [144.973304242296, -37.811277451142], ""type"": ""Point""}",No,Parliament House,45,4,No
"-37.808019550582, 144.947483718061","{""coordinates"": [144.947483718061, -37.808019550582], ""type"": ""Point""}",No,Roden Street between Adderley Street and Spencer Street,61,5,No
"-37.814167083012, 144.93906339248","{""coordinates"": [144.93906339248, -37.814167083012], ""type"": ""Point""}",No,Docklands Drive between Waterfront Way and Pearl River Road,13,11,No
"-37.800409226228, 144.964731537269","{""coordinates"": [144.964731537269, -37.800409226228], ""type"": ""Point""}",No,Grattan Street between Cardigan Street and Swanston Street,62,3,No
"-37.81371230593, 144.965834745769","{""coordinates"": [144.965834745769, -37.81371230593], ""type"": ""Point""}",No,Swanston Street between Little Collins Street and Bourke Street,47,4,No
"-37.816605935139, 144.961559876773","{""coordinates"": [144.961559876773, -37.816605935139], ""type"": ""Point""}",No,Queen Street between Collins Street and Little Collins Street,49,2,No
"-37.813310962011, 144.970239202572","{""coordinates"": [144.970239202572, -37.813310962011], ""type"": ""Point""}",No,Little Collins Street between Exhibition Street and Russell Street,40,6,No
"-37.815800816842, 144.982752695581","{""coordinates"": [144.982752695581, -37.815800816842], ""type"": ""Point""}",No,Clarendon Street between Wellington Parade and George Street,54,6,No
"-37.807949000136, 144.961167089897","{""coordinates"": [144.961167089897, -37.807949000136], ""type"": ""Point""}",No,Franklin Street between Swanston Street and Elizabeth Street,50,5,No
"-37.816040041291, 144.982967553651","{""coordinates"": [144.982967553651, -37.816040041291], ""type"": ""Point""}",No,Wellington Parade between Powlett Street and Clarendon Street,55,1,No
"-37.818563846933, 144.956254692409","{""coordinates"": [144.956254692409, -37.818563846933], ""type"": ""Point""}",No,Collins Street between King Street and Spencer Street,15,2,No
"-37.818076013818, 144.967531439485","{""coordinates"": [144.967531439485, -37.818076013818], ""type"": ""Point""}",No,Swanston Street between Princes Bridge and Flinders Street,25,6,Yes
"-37.810513654662, 144.968615289016","{""coordinates"": [144.968615289016, -37.810513654662], ""type"": ""Point""}",No,Lonsdale Street between Exhibition Street and Russell Street,36,2,No
"-37.809395658678, 144.972471065591","{""coordinates"": [144.972471065591, -37.809395658678], ""type"": ""Point""}",No,Albert Street between Spring Street and Nicholson Street,37,1,No
"-37.81301197586, 144.967106057496","{""coordinates"": [144.967106057496, -37.81301197586], ""type"": ""Point""}",Yes,Bourke Street between Russell Street and Swanston Street,4,11,No
"-37.823478512532, 144.98046718977","{""coordinates"": [144.98046718977, -37.823478512532], ""type"": ""Point""}",No,Olympic Boulevard between Punt Road and Batman Avenue,53,12,No
"-37.815126777236, 144.95528112114","{""coordinates"": [144.95528112114, -37.815126777236], ""type"": ""Point""}",Yes,King Street between Little Bourke Street and Lonsdale Street,23,3,No
"-37.795976841954, 144.967873947464","{""coordinates"": [144.967873947464, -37.795976841954], ""type"": ""Point""}",No,Intersection of Lygon Street and Palmerston Street,63,4,No
"-37.80803193165, 144.955445459469","{""coordinates"": [144.955445459469, -37.80803193165], ""type"": ""Point""}",No,Peel Street between Dudley Street and Victoria Street,60,4,No
"-37.816710786254, 144.962629155314","{""coordinates"": [144.962629155314, -37.816710786254], ""type"": ""Point""}",No,Collins Street between Elizabeth Street and Queen Street,20,4,No
"-37.816063032295, 144.956588111225","{""coordinates"": [144.956588111225, -37.816063032295], ""type"": ""Point""}",No,Bourke Street between William Street and King Street,22,4,No
"-37.813138356776, 144.967172710631","{""coordinates"": [144.967172710631, -37.813138356776], ""type"": ""Point""}",Yes,Bourke Street between Russell Street and Swanston Street,5,11,No
"-37.812440458076, 144.967797296914","{""coordinates"": [144.967797296914, -37.812440458076], ""type"": ""Point""}",No,Russell Street between Bourke Street and Little Bourke Street,39,1,No
"-37.794157205107, 144.948928782083","{""coordinates"": [144.948928782083, -37.794157205107], ""type"": ""Point""}",No,Royal Children's Hospital,69,9,No
"-37.814517780445, 144.970145954136","{""coordinates"": [144.970145954136, -37.814517780445], ""type"": ""Point""}",No,Collins Street between Exhibition Street and Russell Street,42,4,No
"-37.814529682801, 144.962505987872","{""coordinates"": [144.962505987872, -37.814529682801], ""type"": ""Point""}",No,Bourke Street between Elizabeth Street and Queen Street,33,8,No
"-37.814563551834, 144.963408261204","{""coordinates"": [144.963408261204, -37.814563551834], ""type"": ""Point""}",No,Elizabeth Street between Little Collins Street and Bourke Street,28,2,No
"-37.81407411307, 144.956073650638","{""coordinates"": [144.956073650638, -37.81407411307], ""type"": ""Point""}",No,Lonsdale Street between William Street and King Street,24,6,No
"-37.817920052074, 144.9654329988","{""coordinates"": [144.9654329988, -37.817920052074], ""type"": ""Point""}",Yes,Flinders Street between Swanston Street and Elizabeth Street,3,8,No
